model,model_base,quant,model_org,model_repo,runner_type,gpu_name,gpu_vram_gb,gpu_driver,gpu_count,gpu_names,gpu_total_vram_gb,backends,cpu_model,n_ctx,n_batch,split_mode,tensor_split,concurrent_users,throughput_tok_s,avg_power_w,max_power_w,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,avg_fan_speed_rpm,max_fan_speed_rpm,avg_ttft_ms,p50_ttft_ms,p99_ttft_ms,avg_itl_ms,p50_itl_ms,p99_itl_ms,os_system,os_release,os_machine,cpu_cores,ram_total_gb,submitter,timestamp,submitted_at,schema_version,benchmark_version,suite_run_id,submission_id,row_id,machine_fingerprint,run_fingerprint,result_fingerprint,source_file_sha256
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,2,10.79,43.7,56.0,68.8,73.0,78.7,82.8,2,2,607.78,590.51,1081.17,180.44,179.79,188.73,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T06:49:39.066094+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,19e92b2382f640aba46be6215f832040,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,570ebd31a909e09b917698a511e286e872d6d68c791efa295a4b3f5443b10ec3,092b773a7e692459b8d07e58a4446d32ad464fd34f0b75b526485e789cd37cfd,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,1,6.58,42.9,56.7,72.5,76.0,83.1,83.8,2,2,313.05,262.83,750.6,151.28,151.08,158.62,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T06:56:08.417926+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,0199e362265b4a57a4f9a4cb79e35ebd,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,382eccf4b873fbe74a447f1f12dc9b7be841925b90db2c1d2cf9b7d9de7068a2,3eadc5ae65499a3c188f1388dcfc0cad8fd4818f1aa4bdd4b9d5caa62bd99563,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,2,10.77,45.5,57.9,73.9,77.0,84.4,84.9,2,2,589.64,578.05,1104.15,180.27,179.68,188.85,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:03:31.099119+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,ad68bd151b1643f3a2d664debcb4eebb,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,19b0a4b7a590e563d06957152dfb9761078ea0c10fa818518045eb88700cc1f1,f70e6303075f8507fd47c63c1137b8ef39da5452f166aa701b1b2652e2d3a78d,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,1,6.58,43.2,55.9,73.4,77.0,84.5,85.2,2,2,329.61,273.03,752.17,151.31,151.06,158.55,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:10:00.722376+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,b1033e6a4001469e915e259f6ee40d59,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,e7b953c72572fe669c919d247c2ef1b83d765e3dad94d04937f64bb6e9b2d07c,758918cbd4ce5bf0054241767980d69350fb940360fe7ff23c8b537f486be9bf,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,8192,512,,,2,11.16,44.7,65.2,74.4,79.0,85.2,88.0,2,2,502.3,388.77,1360.64,177.74,177.48,184.1,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:18:02.546463+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,209d2444f86d4c6db66e86e8ea9e18d1,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,a21385bbec05ab928acc08a39875ec036994956fb2395d6cf52df23ec7f3012b,f4b85f1c2799361752d7f1ae9ba153c0c7aa464236d582a23d67a75f3148812e,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,8192,512,,,1,6.63,44.0,57.4,75.0,79.0,86.8,89.7,2,2,310.11,265.11,702.26,150.05,149.91,156.86,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:24:08.262868+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,1d040a03786b467880a7caa5967844e9,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,64b3e51a2d54cb9052065a2a8576607a2659354b58d7598b943f07b069cc59ab,b988cb7425558ce3b395b7b4de7c39fc0c171b5cbce72370dc98d6d690fb3356,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,8192,1024,,,2,11.05,46.8,59.4,76.6,81.0,86.7,87.3,2,2,590.71,576.53,1060.47,178.6,177.49,186.51,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:31:31.707832+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,251ab598f0c64cfa81353af5ca68042a,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,f37c9277e693031fc8a0a8d596371b7407d33ea346eac72ae60ab5ab8ad7d595,0e4831ba75b61c931249430540ea8cf7d205b636b2f13e79a588e3d79fc98a52,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,8192,1024,,,1,6.63,44.2,57.3,75.5,78.0,86.3,87.1,2,2,314.61,263.37,720.58,150.09,149.94,157.36,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:37:57.983831+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,22d1cc461bd84d148888fa9a118c88e8,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,6dc97217871ed758c31791fe37a5989b462959e8efb6ba75e37bbf630797f5c3,a1c08751ea6afff64abee632f64bc1ed77433754cd0d91d5bd24730e03bfd045,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,32768,512,,,2,11.15,44.9,65.2,74.8,79.0,85.9,87.7,2,2,500.27,358.89,1416.78,177.47,177.31,183.99,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:45:58.984410+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,77085ba83eee435cbf15fe990c49c6aa,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,2ec38808bac686c1d3699616af5c9fc5687584854245023e1aa178387f88e411,e8db2b7c96f3da21921ed3a051010d6b95e25cd13d44251497fe3003df8a037d,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
unsloth/Qwen3.5-27B-GGUF/Qwen3.5-27B-UD-Q8_K_XL.gguf,Qwen3.5-27B-UD,Q8_K_XL,unsloth,unsloth/Qwen3.5-27B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,32768,512,,,1,6.6,43.8,56.7,74.9,79.0,86.8,87.0,2,2,317.03,268.18,771.93,150.63,150.48,157.22,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-28T07:51:53.374899+00:00,2026-03-28T09:02:02.198323+00:00,0.1.0,0.1.0,184b520416134fca9f81ad686685ebae,2d7fe5b35fae4060b987d48dbe10fccb,32e9c97273c944258322c57991405a92,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,3f4266074f5f3343b275b591d8b5fc71dc76e36e2d6ecee1e573aa3386b5880a,22a3644069744eab2aaa5dea9961564acb95f2ccc9661a7755a481c75f127a8d,0bb1e6017d69782ac691d6a879e8bed3bcc0660ed60c65623d3170a5202eb436
