model,model_base,quant,model_org,model_repo,runner_type,gpu_name,gpu_vram_gb,gpu_driver,gpu_count,gpu_names,gpu_total_vram_gb,backends,cpu_model,n_ctx,n_batch,split_mode,tensor_split,concurrent_users,throughput_tok_s,avg_power_w,max_power_w,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,avg_fan_speed_rpm,max_fan_speed_rpm,avg_ttft_ms,p50_ttft_ms,p99_ttft_ms,avg_itl_ms,p50_itl_ms,p99_itl_ms,os_system,os_release,os_machine,cpu_cores,ram_total_gb,submitter,timestamp,submitted_at,schema_version,benchmark_version,suite_run_id,submission_id,row_id,machine_fingerprint,run_fingerprint,result_fingerprint,source_file_sha256
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,1,27.41,40.0,42.0,,,,,,,79.18,83.06,130.88,36.31,38.5,42.59,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:09:32.680686+00:00,,2,0.1.0,,,a2e0248c55f94a8383fe0bc5619e56d9,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,d966960ee28311b178422b0b939b619769c9530b82f729c7cea301f99577348c,afc68448f1c2fb2babe6fc738266ae6d8def9ea1ceec8b334f6979727901dab1,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,2,44.12,38.8,42.2,,,,,,,200.26,223.61,267.7,44.28,43.08,90.18,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:11:32.584789+00:00,,2,0.1.0,,,4f0f9fb6335e49fdbccb225e03bc8502,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,919939e43791f1ed84735eed77b8503dc8e9a77632ce1f77d4b50fdc86bb8692,f5c1efd34df2fd24efb3a6652d46e3b1e9fc0e5720ac9943fe91cb6f43d46b12,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,4,79.86,42.9,46.0,,,,,,,286.68,287.44,505.96,47.05,49.11,94.31,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:13:45.606851+00:00,,2,0.1.0,,,c05c0ef5d44444eb9c3b0d6b15f76cce,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,a83d805451b7f915f7d607e84d1dbc6bf501e26070fdd785befab4bbf5ca91b9,d878da0ddda83cce1952e6b5e72a002ea6e3df73f083c45869793f14290609ab,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,8,80.88,42.6,45.3,,,,,,,11663.1,13166.06,13522.07,48.21,49.06,90.43,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:18:00.151304+00:00,,2,0.1.0,,,58338537e3ca4338a38a95f61591f367,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,20116035b7a7ff2280f97d786f8b16c72f2d690c25538965b6168cddbed62acd,6ec252eb5956852c345522f91f239d77934102a0fa30bb50c636f64e72a08ccf,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,16,78.82,42.7,44.6,,,,,,,35057.43,39059.67,40088.94,49.58,49.16,135.05,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:26:19.008179+00:00,,2,0.1.0,,,79a0dcc99d664de2909252d827bd102d,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,337fdea7dbbdcbe429f01de21b8955307c06f9dfee2699d06f8f067dbcbb1d1f,26988e160f643559768519905296b4b5cc877549c35ff3eb134abf4df0e1acae,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,32,78.48,42.7,47.5,,,,,,,82896.02,90839.3,93792.74,49.95,49.27,138.71,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:43:11.354648+00:00,,2,0.1.0,,,2c161d09ac8d4619b659b475df49ab1e,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,e133a1ae8c6ae430c757b4cf8f03826594e544da6e8429c6f8c95bfbc381672a,197a35e12551330b78cf26107bc75390f852dd0ea589358df8364e4438cfc5e3,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,1,27.09,41.4,43.4,,,,,,,77.92,75.83,126.91,36.71,38.96,43.21,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:44:42.219249+00:00,,2,0.1.0,,,3f8d186550504e8192395efab43295b7,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,47ed4a14dab0a22ed8c728f3684cf06d9e56dd90b696532d731a36c28ff26d7c,c924d0163e63c8e08f3e7efcac8f8d5779cf49efd99ccd2c03f3cc4fbf4a9f33,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,2,47.32,39.2,42.1,,,,,,,190.91,212.35,276.7,41.43,42.87,58.94,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:46:25.349571+00:00,,2,0.1.0,,,d5905e0bbfe24b1db705c5ca497dcbd9,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,3a24fed4cd157c6475d182cfff6072da918be230d6af10a61d465f67272aaf9c,d506e7fe62c6442c3d688e0bef96822ba3d96af00dbdbb119aa5bf268fe21c0b,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,4,78.16,41.7,44.2,,,,,,,325.27,342.09,522.44,49.13,49.76,86.67,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:48:39.998365+00:00,,2,0.1.0,,,0252bfdf5152425f830480b784cb379a,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,7431d0b2bf28b1ba8faeedf301ff725ecf4eba30c4ef892c83f83520491a6836,1cb247838bcf75debdcd122725ad3a9c1d4dcba42f36c8575d1440cb29faa069,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,8,78.82,43.0,44.9,,,,,,,12134.61,13062.22,13648.83,49.12,49.25,89.6,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T22:53:03.626804+00:00,,2,0.1.0,,,b201688900744484a20352bc2eb4bfcf,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,7e7e05d694587883fe880326beecd5792e573233bea7cbed79b5dd7a8afb8865,b99f2efe750a58622e853fe14c10fad4975b6d1bd03ab2fc77e100f816be8518,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,16,78.93,42.7,45.3,,,,,,,35567.14,39034.92,40214.87,49.86,49.45,135.43,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T23:01:30.591835+00:00,,2,0.1.0,,,e13daa473b3d4052b144a07160171501,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,b042cc24feba573cd785a8372ce78eb1033a98cb819e35e13e0d656a3082ce36,3fcec126785da11a22a9b8e44fce13ab942f2d2e8150e4dff6584e794b525497,
unsloth/Qwen3.5-2B-GGUF/Qwen3.5-2B-BF16.gguf,Qwen3.5-2B,BF16,unsloth,unsloth/Qwen3.5-2B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,32,79.09,42.9,45.2,,,,,,,82077.81,90226.6,92784.95,49.9,49.2,132.54,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-11T23:18:09.093275+00:00,,2,0.1.0,,,1f8996adddf5400b96046e4505ea43c3,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,8af69fa3095be4787213aa8736aa9abd608a175978bcb97c96e0fbd3636a2688,1f8c6440b9a0991d727dfead34bbd6cb6f35e471feef5ce58215a23cb3cb758f,
