model,model_base,quant,model_org,model_repo,runner_type,gpu_name,gpu_vram_gb,gpu_driver,gpu_count,gpu_names,gpu_total_vram_gb,backends,cpu_model,n_ctx,n_batch,split_mode,tensor_split,concurrent_users,throughput_tok_s,avg_power_w,max_power_w,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,avg_fan_speed_rpm,max_fan_speed_rpm,avg_ttft_ms,p50_ttft_ms,p99_ttft_ms,avg_itl_ms,p50_itl_ms,p99_itl_ms,os_system,os_release,os_machine,cpu_cores,ram_total_gb,submitter,timestamp,submitted_at,schema_version,benchmark_version,suite_run_id,submission_id,row_id,machine_fingerprint,run_fingerprint,result_fingerprint,source_file_sha256
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,2,79.64,61.0,66.4,60.3,68.0,67.2,76.5,2,2,126.71,111.52,220.07,24.25,23.94,28.13,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:33:04.073714+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,8b6dd502d1bb4bcdaa08c1a37ce57ea4,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,1f86821680f823829a098e89b24b186ec129ca6c7ccc1b361a4d8f1031f9fef1,1378a8f8090b2c4e9d5bdd7b838451521258d10dcb0444fc0be83a7a1dc4fbb4,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,4,110.46,73.5,79.2,73.3,77.0,79.4,82.8,2,2,186.23,174.3,398.42,34.44,33.14,51.73,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:34:35.079909+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,191f87d3e4cb4e818f6324ac788cc512,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,9ab32c27175b7d0332edff1db3d92e2c9cd2be0d891df5b357385e528402a8e9,3642cc499f4fdecb3ad7402965f1b53ce92daa952f9d78ef04a5df70a77904d0,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,8,119.32,68.8,76.4,75.7,80.0,83.0,87.6,2,2,271.62,275.78,477.26,63.51,61.37,126.62,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:36:57.861428+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,80a3ce1b14254f25983030de323cd6f9,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,add99521cde7ebfec9bdce06be7fb83d719077965d233c090a6fb3a99c1c7cc0,daa5d486542c560d3a1ed8d8051574fcb237f210c7b6f1d32633c271be550fed,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,16,131.74,55.0,69.0,72.6,76.0,81.6,84.3,2,2,493.94,525.07,1003.26,115.62,113.45,182.87,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:41:06.926020+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,607d2ce4fcaf42b986ffb05bfff79906,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,9d832deab244d9aae7c2d0407d13168a049780ffcfb354e6d03ee3a2ab733e7e,13ce1bef8d9972b02a96c3124d674ae368c27726f33439b6c32a6f884fc19e84,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,32,141.31,55.8,75.0,73.1,77.0,79.3,84.5,2,2,837.4,930.39,1476.63,216.46,208.75,321.79,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:48:47.444378+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,e6636a49260144219887aa958f27b8bf,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,f4da449cd63c6df710136d9bceb0c2589cf89bbf96d18c1cecbee4f7726e8d5d,5f5f630970b6c0047bbb476d21e7d0d5152dda7a8f8533a56a8b8dafcc309f98,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,2,46.64,57.6,68.2,73.9,75.0,82.3,83.7,2,2,115.37,111.38,137.85,41.92,44.98,46.49,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:50:13.025015+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,ed75925c0c8c4c7a9fdf5ff5bb2e8d0b,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,4ee5ba26b3004de82d234849e2306c6a23dffe00ec414c35f830ee604cd48047,849d67aef9375f5a3aab8e46eadc63ab94f74742c7514ba36380d792ec13043f,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,4,52.68,58.9,78.9,74.5,78.0,83.2,85.4,2,2,198.39,198.57,260.09,74.13,72.75,93.66,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:52:42.345847+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,c2817553016143bea6a9d7c2a0b6eed0,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,30ff509b1a9b77dc09e3354e5e298ac45165c83014e51af13ee789e5cc61874d,ed70b3b47a722796010e4169f5e98ef6037c185f6a76e00e731051876df0f31a,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,8,57.97,59.5,65.0,74.5,77.0,82.2,82.8,2,2,336.67,326.51,445.94,133.93,144.15,185.26,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T14:57:11.347844+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,a08d7f8dd7b64dc78f7040f0b6b44fd2,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,13071a041f07cc6ef75ba9b6ce16beaf676a64bc91bb6ac5a8401637807e0a16,d9a862c6572272c167eb0c58a459b7154f14a26526a3df58cfd0cbfec66a16f2,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,16,73.39,63.3,73.4,76.3,80.0,84.7,87.6,2,2,610.48,508.03,1016.72,206.26,207.01,260.04,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T15:04:13.090712+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,765f147b5f0c48599ddcd27424b2e735,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,8c97412a890bdcf6a5d0a1ea3baa898b17c8d25c63e7a0c32ddbd739e695fb4e,367f49d9106451a641b8abb55ad0e0634e7151728bff04ee2870f6fa7cf9f73e,
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,32,141.14,56.9,73.8,73.8,77.0,80.0,84.6,2,2,919.51,849.58,2114.58,216.55,208.75,361.53,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,,2026-03-23T15:11:42.866198+00:00,,2,0.1.0,6da337e2ad1f49bf8921afa5ff3382ba,,9117967f1ffd46baa08a2692c36cd49d,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,cc20c013ebcf00b661f11d342616a9833808d83d115eb947798f51e848c83612,82c0a8b240c66421749542e12e1f7a73109361e800584ef27b5f7064514a40c4,
